City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,Thompson,55.7435,-97.8558,51.96,76,75,12.66,CA,2022-09-10 16:36:26
197,Zarubino,42.63,131.0922,62.65,86,90,0.38,RU,2022-09-10 16:36:26
198,Pingliang,35.5392,106.6861,59.16,84,0,0.22,CN,2022-09-10 16:36:27
199,Necochea,-38.5473,-58.7368,54.34,51,0,8.23,AR,2022-09-10 16:36:27
200,Kalmar,56.6616,16.3616,61.14,88,100,3.44,SE,2022-09-10 16:36:27
201,Vanavara,60.34,102.2797,38.66,95,60,5.08,RU,2022-09-10 16:36:28
202,Sabancuy,18.9667,-91.1833,84.11,64,100,6.98,MX,2022-09-10 16:36:28
203,Byron Bay,-28.65,153.6167,55.36,66,0,10.47,AU,2022-09-10 16:36:29
204,Nemuro,43.3236,145.575,60.89,73,0,5.64,JP,2022-09-10 16:36:29
205,Susaki,33.3667,133.2833,75.96,89,80,4.52,JP,2022-09-10 16:36:29
206,Mahebourg,-20.4081,57.7,71.26,64,40,6.91,MU,2022-09-10 16:36:29
207,Esperance,-33.8667,121.9,51.51,88,14,7.74,AU,2022-09-10 16:36:30
208,Kailua,21.4022,-157.7394,77.14,87,20,8.05,US,2022-09-10 16:36:30
209,Tuatapere,-46.1333,167.6833,37.02,92,9,4.29,NZ,2022-09-10 16:36:31
210,Codrington,-38.2667,141.9667,48.31,82,97,11.61,AU,2022-09-10 16:36:31
211,Comodoro Rivadavia,-45.8667,-67.5,60.66,41,0,4.61,AR,2022-09-10 16:36:31
212,Talnakh,69.4865,88.3972,36.21,98,100,9.17,RU,2022-09-10 16:36:32
213,Orcopampa,-15.2661,-72.3417,61.75,23,2,4.83,PE,2022-09-10 16:36:32
214,Noumea,-22.2763,166.4572,75.99,99,35,4.43,NC,2022-09-10 16:36:32
215,Adrar,20.5022,-10.0711,107.04,9,39,10.47,MR,2022-09-10 16:36:33
216,Palasa,18.7667,84.4167,78.22,93,100,12.37,IN,2022-09-10 16:36:33
217,Kalmunai,7.4167,81.8167,81.75,75,87,2.59,LK,2022-09-10 16:36:33
218,Kozhevnikovo,56.2589,83.9714,48.25,79,100,5.01,RU,2022-09-10 16:36:34
219,Vostochnyy,55.8167,37.8667,57.38,45,3,4.12,RU,2022-09-10 16:36:34
