City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
199,Mulki,13.1,74.8,79.88,89,75,6.91,IN,broken clouds
200,Bengkulu,-3.8004,102.2655,76.08,85,81,4.18,ID,broken clouds
201,Mali,12.079,-12.2982,66.7,84,72,4.0,GN,light rain
202,Meulaboh,4.1363,96.1285,78.28,82,100,4.16,ID,overcast clouds
203,Palmer,42.1584,-72.3287,74.48,78,100,3.44,US,overcast clouds
204,Saint-Pierre,-21.3393,55.4781,71.28,68,20,0.0,RE,few clouds
205,Tual,-5.6667,132.75,80.51,82,70,13.06,ID,broken clouds
206,Kayalpattinam,8.5667,78.1167,82.45,67,26,13.58,IN,scattered clouds
207,Salihorsk,52.7876,27.5415,48.11,95,100,5.57,BY,overcast clouds
208,Yarada,17.65,83.2667,80.92,89,75,5.75,IN,thunderstorm
209,Saint-Francois,46.4154,3.9054,76.68,41,0,4.61,FR,clear sky
210,Puerto Escondido,15.85,-97.0667,79.39,84,100,10.71,MX,overcast clouds
211,Tavda,58.0425,65.2726,41.59,92,75,4.36,RU,broken clouds
212,Saint-Joseph,-21.3667,55.6167,70.18,76,27,8.75,RE,scattered clouds
213,Karachi,24.9056,67.0822,84.02,74,20,11.5,PK,few clouds
214,Grindavik,63.8424,-22.4338,52.27,71,20,24.16,IS,few clouds
215,Upernavik,72.7868,-56.1549,40.57,95,100,12.82,GL,light rain
216,Viytivka,48.426,29.5429,67.12,49,74,6.29,UA,broken clouds
217,Rawson,-43.3002,-65.1023,62.49,33,1,12.39,AR,clear sky
218,Lang Son,21.8333,106.7333,73.45,96,93,3.27,VN,overcast clouds
219,Honiara,-9.4333,159.95,76.48,85,66,5.91,SB,broken clouds
220,Mahon,39.8885,4.2658,84.76,65,20,8.05,ES,few clouds
221,Karpogory,64.0019,44.4451,48.85,90,93,4.5,RU,overcast clouds
222,Astana,51.1801,71.446,48.15,93,100,13.42,KZ,overcast clouds
223,Thompson,55.7435,-97.8558,57.36,62,0,9.22,CA,clear sky
224,Narsaq,60.9167,-46.05,49.86,63,46,5.57,GL,scattered clouds
225,Kavaratti,10.5669,72.642,80.64,85,100,19.08,IN,overcast clouds
226,Kamina,-8.7386,24.9906,77.22,44,100,3.83,CD,overcast clouds
227,Cherskiy,68.75,161.3,40.82,87,100,6.17,RU,overcast clouds
228,Beringovskiy,63.05,179.3167,45.37,87,100,20.54,RU,overcast clouds
229,Oxford,51.7522,-1.256,73.54,59,40,13.8,GB,scattered clouds
230,Mahajanga,-15.7167,46.3167,78.82,69,40,8.05,MG,scattered clouds
231,Mount Isa,-20.7333,139.5,62.37,77,75,5.75,AU,broken clouds
232,Peniche,39.3558,-9.3811,85.08,82,93,14.7,PT,overcast clouds
233,Warrnambool,-38.3833,142.4833,48.7,76,100,11.81,AU,overcast clouds
234,Barrow,71.2906,-156.7887,33.82,93,100,16.11,US,overcast clouds
235,Cervo,43.6702,-7.4101,71.96,74,98,2.75,ES,overcast clouds
236,Fukue,32.6881,128.8419,79.0,85,100,9.42,JP,overcast clouds
237,Lekoni,-1.5843,14.2591,80.44,61,94,7.7,GA,overcast clouds
238,Port Blair,11.6667,92.75,80.64,83,40,3.44,IN,mist
239,Santa Maria,-29.6842,-53.8069,60.1,48,0,16.11,BR,clear sky
240,Oranjemund,-28.55,16.4333,57.85,83,47,21.5,NA,scattered clouds
241,Umm Lajj,25.0213,37.2685,87.42,68,5,5.17,SA,clear sky
242,Waingapu,-9.6567,120.2641,75.63,81,29,6.08,ID,scattered clouds
243,Yaval,21.1667,75.7,78.58,89,100,2.35,IN,overcast clouds
244,Belmonte,-15.8631,-38.8828,78.6,55,10,7.43,BR,clear sky
245,Iralaya,15.0,-83.2333,84.29,78,61,8.77,HN,broken clouds
246,Beloomut,54.9448,39.3394,54.23,48,100,4.5,RU,overcast clouds
247,Cayenne,4.9333,-52.3333,87.84,62,0,3.44,GF,clear sky
248,Saurimo,-9.6608,20.3916,88.21,23,43,6.58,AO,scattered clouds
249,Nara,34.6851,135.8049,80.49,61,19,3.0,JP,few clouds
250,Fare,-16.7,-151.0167,78.62,70,5,15.73,PF,light rain
251,Flinders,-34.5833,150.8552,55.18,60,0,10.0,AU,clear sky
252,Leningradskiy,69.3833,178.4167,35.29,92,68,7.25,RU,broken clouds
253,Atbasar,51.8,68.3333,50.41,67,96,13.73,KZ,overcast clouds
254,Labuhan,-6.8844,112.2051,79.77,81,100,5.44,ID,overcast clouds
255,Isangel,-19.55,169.2667,73.45,88,6,6.42,VU,clear sky
256,Torbay,47.6666,-52.7314,59.58,97,100,31.0,CA,heavy intensity rain
257,South Lake Tahoe,38.9332,-119.9844,70.27,62,100,2.33,US,overcast clouds
258,Mao,39.8885,4.2658,84.76,65,20,8.05,ES,few clouds
259,Xining,36.6167,101.7667,53.13,70,32,2.06,CN,scattered clouds
260,Nsanje,-16.92,35.262,87.04,27,0,4.54,MW,clear sky
261,Ginda,30.6945,78.4932,64.47,92,52,2.44,IN,broken clouds
262,Gembloux,50.561,4.697,74.98,57,89,1.88,BE,overcast clouds
263,Ulaangom,49.9811,92.0667,57.85,42,61,8.57,MN,broken clouds
264,Mackay,-21.15,149.2,63.68,87,1,5.75,AU,clear sky
265,Thinadhoo,0.5333,72.9333,82.49,73,50,14.38,MV,scattered clouds
266,Bilibino,68.0546,166.4372,44.76,72,100,4.79,RU,overcast clouds
267,Ketchikan,55.3422,-131.6461,52.07,77,14,8.16,US,few clouds
268,Kruisfontein,-34.0033,24.7314,57.88,80,100,18.99,ZA,overcast clouds
269,Oropesa,-13.5928,-71.7719,64.26,39,20,3.44,PE,few clouds
270,Clyde River,70.4692,-68.5914,43.03,93,75,5.75,CA,broken clouds
271,Eyl,7.9803,49.8164,79.47,75,87,24.99,SO,overcast clouds
272,Kontagora,10.3999,5.4695,73.76,91,98,3.22,NG,overcast clouds
273,Anda,46.4,125.3167,63.99,77,19,8.77,CN,few clouds
274,Olafsvik,64.8945,-23.7142,50.27,59,29,6.98,IS,scattered clouds
275,Puerto Ayora,-0.7393,-90.3518,73.36,85,92,5.99,EC,overcast clouds
276,Asyut,27.181,31.1837,93.38,16,0,9.86,EG,clear sky
277,Takoradi,4.8845,-1.7554,80.37,71,74,12.03,GH,broken clouds
278,Codrington,-38.2667,141.9667,47.75,75,100,9.51,AU,overcast clouds
279,Banda Aceh,5.5577,95.3222,78.82,81,80,4.72,ID,broken clouds
280,Ancud,-41.8697,-73.8203,49.23,85,100,7.31,CL,light rain
281,Okhotsk,59.3833,143.3,45.27,53,11,16.46,RU,few clouds
282,Uhryniv,48.9552,24.6929,58.06,85,99,13.06,UA,overcast clouds
283,Lebu,-37.6167,-73.65,53.19,70,3,5.91,CL,clear sky
284,Sundsvall,62.3913,17.3063,62.56,71,100,5.75,SE,overcast clouds
285,Hualmay,-11.0964,-77.6139,65.26,70,39,10.78,PE,scattered clouds
286,Kemi,65.8596,24.8228,55.17,82,0,11.5,FI,clear sky
287,Siemiatycze,52.4272,22.8623,45.64,95,100,12.28,PL,overcast clouds
288,Ban Nahin,18.2418,104.2122,74.5,96,98,2.59,LA,overcast clouds
289,Polewali,-3.4324,119.3435,76.01,87,94,1.86,ID,overcast clouds
290,San Cristobal,7.7669,-72.225,80.78,44,17,7.65,VE,few clouds
291,Bar Harbor,44.3876,-68.2039,81.64,72,99,2.08,US,overcast clouds
292,San Patricio,28.017,-97.5169,87.89,55,0,5.82,US,clear sky
293,Gunnedah,-30.9833,150.25,42.8,86,95,2.46,AU,overcast clouds
