City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Ketchikan,US,52.07,few clouds,55.3422,-131.6461,
268,Kruisfontein,ZA,57.88,overcast clouds,-34.0033,24.7314,
269,Oropesa,PE,64.26,few clouds,-13.5928,-71.7719,
270,Clyde River,CA,43.03,broken clouds,70.4692,-68.5914,
271,Eyl,SO,79.47,overcast clouds,7.9803,49.8164,
272,Kontagora,NG,73.76,overcast clouds,10.3999,5.4695,
273,Anda,CN,63.99,few clouds,46.4,125.3167,
274,Olafsvik,IS,50.27,scattered clouds,64.8945,-23.7142,
275,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,
276,Asyut,EG,93.38,clear sky,27.181,31.1837,
277,Takoradi,GH,80.37,broken clouds,4.8845,-1.7554,
278,Codrington,AU,47.75,overcast clouds,-38.2667,141.9667,
279,Banda Aceh,ID,78.82,broken clouds,5.5577,95.3222,
280,Ancud,CL,49.23,light rain,-41.8697,-73.8203,
281,Okhotsk,RU,45.27,few clouds,59.3833,143.3,
282,Uhryniv,UA,58.06,overcast clouds,48.9552,24.6929,
283,Lebu,CL,53.19,clear sky,-37.6167,-73.65,
284,Sundsvall,SE,62.56,overcast clouds,62.3913,17.3063,
285,Hualmay,PE,65.26,scattered clouds,-11.0964,-77.6139,
286,Kemi,FI,55.17,clear sky,65.8596,24.8228,
287,Siemiatycze,PL,45.64,overcast clouds,52.4272,22.8623,
288,Ban Nahin,LA,74.5,overcast clouds,18.2418,104.2122,
289,Polewali,ID,76.01,overcast clouds,-3.4324,119.3435,
290,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,
291,Bar Harbor,US,81.64,overcast clouds,44.3876,-68.2039,
292,San Patricio,US,87.89,clear sky,28.017,-97.5169,
293,Gunnedah,AU,42.8,overcast clouds,-30.9833,150.25,
294,Dire,ML,75.67,overcast clouds,12.2833,-10.9667,
295,Longyearbyen,SJ,37.24,light intensity drizzle rain,78.2186,15.6401,
296,Pingliang,CN,60.06,clear sky,35.5392,106.6861,
297,Namalenga,TZ,79.02,overcast clouds,-10.95,39.1,
298,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,
299,San Lazaro,BZ,80.71,overcast clouds,18.0387,-88.6622,
300,Sept-Iles,CA,57.72,mist,50.2001,-66.3821,
301,North Bend,US,62.17,broken clouds,43.4065,-124.2243,
302,Phan Thiet,VN,77.92,broken clouds,10.9333,108.1,
303,Dhangadhi,NP,82.31,clear sky,28.7079,80.5961,
304,Luau,AO,87.96,few clouds,-10.7073,22.2247,
305,Ayan,RU,49.69,overcast clouds,56.45,138.1667,
306,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,
307,Inhambane,MZ,72.93,clear sky,-23.865,35.3833,
308,Qasigiannguit,GL,38.66,moderate rain,68.8193,-51.1922,
309,Hoima,UG,69.87,light rain,1.4356,31.3436,
310,Gimli,CA,57.22,clear sky,50.6336,-96.9907,
311,Bezenchuk,RU,54.3,overcast clouds,52.982,49.4333,
312,Honningsvag,NO,42.55,light rain,70.9821,25.9704,
313,Marawi,PH,69.19,overcast clouds,7.9986,124.2928,
314,Guerrero Negro,MX,77.04,clear sky,27.9769,-114.0611,
315,Mantua,IT,82.09,clear sky,45.1667,10.7833,
316,Chapais,CA,74.89,scattered clouds,49.7834,-74.8492,
317,Litovko,RU,57.9,overcast clouds,49.2361,135.1742,
318,Raudeberg,NO,59.95,overcast clouds,61.9875,5.1352,
319,Havre-Saint-Pierre,CA,63.59,clear sky,50.2334,-63.5986,
320,Chokurdakh,RU,39.42,overcast clouds,70.6333,147.9167,
321,Homa Bay,KE,72.41,light rain,-0.5273,34.4571,
322,Lakhnau,IN,84.18,mist,26.85,80.9167,
323,Tourlaville,FR,71.02,clear sky,49.6383,-1.5664,
324,Lucapa,AO,78.46,overcast clouds,-8.4192,20.7447,
325,Faanui,PF,78.62,clear sky,-16.4833,-151.75,
326,Coldstream,GB,68.18,overcast clouds,55.6511,-2.2529,
327,Egvekinot,RU,36.64,overcast clouds,66.3167,-179.1667,
328,Kassala,SD,94.78,overcast clouds,15.451,36.4,
329,Puerto Madero,MX,79.56,overcast clouds,14.7208,-92.4215,
330,Potters Bar,GB,73.76,overcast clouds,51.6935,-0.1784,
331,Gat,IL,83.79,clear sky,31.61,34.7642,
332,Beira,MZ,75.18,clear sky,-19.8436,34.8389,
334,Hay River,CA,49.12,clear sky,60.8156,-115.7999,
335,Port Macquarie,AU,48.88,overcast clouds,-31.4333,152.9167,
336,Tevaitoa,PF,78.53,clear sky,-16.7833,-151.5,
337,Sartell,US,66.85,clear sky,45.6216,-94.2069,
338,Makakilo City,US,73.98,overcast clouds,21.3469,-158.0858,
339,Alma,CA,76.1,few clouds,48.5501,-71.6491,
340,Xuanhua,CN,67.33,clear sky,40.6103,115.0447,
341,Hobyo,SO,77.05,scattered clouds,5.3505,48.5268,
342,Sapa,PH,80.28,overcast clouds,5.1544,120.3241,
343,Vallenar,CL,62.31,clear sky,-28.5708,-70.7581,
344,Valdez,EC,79.27,overcast clouds,1.2492,-78.9831,
345,Miles City,US,68.86,clear sky,46.4083,-105.8406,
346,Lavrentiya,RU,41.85,overcast clouds,65.5833,-171.0,
347,Pangkalanbuun,ID,74.12,overcast clouds,-2.6833,111.6167,
348,Loikaw,MM,66.04,overcast clouds,19.6742,97.2094,
349,Mitchell,US,70.74,clear sky,43.7094,-98.0298,
350,Deputatskiy,RU,31.15,overcast clouds,69.3,139.9,
351,Suba,PH,83.7,overcast clouds,10.8438,121.0102,
352,Kvitok,RU,48.43,overcast clouds,56.0724,98.4813,
353,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,
354,Bangassou,CF,75.11,light rain,4.7413,22.8184,
355,Irbeyskoye,RU,51.67,overcast clouds,55.6428,95.4522,
356,Iskateley,RU,44.1,overcast clouds,67.6803,53.1512,
357,Erzincan,TR,75.02,clear sky,39.75,39.5,
358,Mandera,KE,91.54,overcast clouds,3.9366,41.867,
359,Norman Wells,CA,49.51,overcast clouds,65.282,-126.8329,
360,Coihaique,CL,51.75,overcast clouds,-45.5752,-72.0662,
361,Paddhari,IN,77.88,overcast clouds,22.4333,70.6,
362,Lakatoro,VU,76.95,clear sky,-16.0999,167.4164,
363,Hyeres,FR,84.67,clear sky,43.1167,6.1167,
364,Gorin,RU,53.42,overcast clouds,51.1983,136.6669,
365,Taltal,CL,60.12,clear sky,-25.4,-70.4833,
366,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,
367,Santa Rosa,PH,83.1,broken clouds,14.3122,121.1114,
368,Sungairaya,ID,79.02,overcast clouds,0.7,108.9,
369,Havelock,US,88.05,overcast clouds,34.8791,-76.9013,
